raw,kal
53.14756,53.15697
53.04893,53.06072
53.10036,53.1107
52.90229,52.91426
53.00335,53.01071
53.09814,53.11139
53.00224,53.02434
52.95005,52.94713
53.24455,53.25642
52.90364,52.91481
53.09634,53.10832
53.09562,53.10863
53.09805,53.10444
53.29548,53.30801
53.09799,53.10888
53.24145,53.24529
53.09885,53.10982
53.14819,53.15868
53.14422,53.15243
53.19607,53.20745
53.00034,53.01099
53.09689,53.11468
53.04783,53.0638
53.04861,53.06944
53.34016,53.34864
53.39106,53.41099
53.24451,53.25125
53.14511,53.16702
53.24072,53.24814
53.19371,53.19804
53.14315,53.15471
53.19697,53.21083
53.19624,53.21016
53.14421,53.16243
53.14599,53.1559
53.34249,53.35189
53.33987,53.34688
53.33954,53.35079
53.14722,53.15285
52.85897,52.84671
52.86338,52.87112
52.96399,52.96802
52.72076,52.73739
52.71949,52.63696
52.62571,52.83868
52.81792,52.83902
52.96164,53.09726
53.8727,54.20309
55.78574,56.37491
58.26402,58.64569
59.44545,59.58287
59.8289,59.86142
59.96556,59.99069
59.9703,59.97466
59.92933,59.92037
59.7913,59.80444
60.06655,60.07469
60.26844,60.26299
60.02042,60.03984
59.97735,60.0001
60.02742,60.07133
59.83873,59.84916
59.94419,59.95238
59.98737,59.99812
60.08648,60.09222
60.12932,60.14382
60.03885,60.04717
59.94011,59.94984
60.03626,60.04893
60.13678,60.14506
60.04126,60.05154
59.94846,59.96283
60.13659,60.14634
60.0969,60.10317
59.95024,59.95705
59.99826,60.0216
60.09881,60.10394
60.09618,60.09954
60.09333,60.05147
60.04665,60.05779
60.14124,60.15757
60.09524,60.10437
60.03752,60.04501
60.13109,60.12561
60.22939,60.23507
60.19094,60.20599
60.12943,60.13694
60.08908,60.0947
60.13431,60.14088
59.84385,59.85834
59.99214,60.00388
59.94268,59.94921
59.84726,59.85967
59.89304,59.8997
59.9465,59.9606
59.89349,59.92947
59.94355,59.95612
60.19161,60.19288
60.14478,60.15842
60.00295,60.00122
60.24138,60.24514
60.19131,60.20122
60.09146,60.10046
60.23623,60.24849
60.09765,60.14245
60.14225,60.15307
60.18643,60.19662
60.08624,60.09399
59.85064,59.86377
59.9454,59.95527
60.04312,60.05952
59.9487,59.96111
59.95115,59.95842
59.94923,59.95652
59.84672,59.85653
60.05238,60.0539
60.20484,60.2128
60.33839,60.33651
60.19766,60.2075
60.30394,60.31776
60.25561,60.26538
60.24083,60.20853
59.95261,59.96814
60.04753,60.06131
60.04768,60.05179
60.04748,60.06406
59.94892,59.96061
60.14568,60.12083
60.34795,60.35805
60.35375,60.35559
60.39303,60.40492
60.39244,60.39319
60.20481,60.21607
60.25233,60.26717
60.26377,60.27107
60.25378,60.30258
60.24841,60.25493
60.09795,60.10263
60.08405,60.09795
59.89154,60.09795
59.89627,59.89911
59.69473,59.70911
59.4812,59.49756
59.6615,59.6738
59.57799,59.59154
59.81235,59.8813
59.86627,59.88866
59.81999,59.83852
60.01669,60.02058
59.95992,60.03101
63.49069,64.33294
67.63354,68.70721
71.76388,72.62319
74.13393,74.35732
74.49844,74.49817
74.37897,74.38769
74.2591,74.24422
73.96425,73.94539
73.92943,73.93748
73.95086,73.97581
74.01418,74.04173
73.95094,73.97595
73.95023,73.95195
73.80336,73.7955
73.7049,73.69883
73.69678,73.86418
74.06298,74.04375
74.20171,74.19477
74.50967,74.54551
74.52581,74.52524
74.31409,74.26234
74.19345,74.21368
74.29237,74.29551
74.36308,74.35587
74.44733,74.4638
74.413,74.4202
74.27798,74.29681
74.24348,74.25095
74.41226,74.41953
74.44119,74.44826
