Sensor,Axis,Angular velocity,X,Y,Z,Temp
EXT,X,0,-0.587463,-0.061035,-1.251221,25.344706
EXT,X,0,-0.587463,-0.061035,-1.167297,25.321177
EXT,X,0,-0.587463,-0.083923,-1.213074,25.353529
EXT,X,0,-0.587463,-0.083923,-1.159668,25.335882
EXT,X,0,-0.587463,-0.083923,-1.12915,25.347647
EXT,X,0,-0.587463,-0.083923,-1.121521,25.353529
EXT,X,0,-0.587463,-0.053406,-1.144409,25.365294
EXT,X,0,-0.587463,-0.144958,-1.197815,25.353529
EXT,X,0,-0.587463,-0.144958,-1.144409,25.321177
EXT,X,0,-0.587463,-0.091553,-1.167297,25.318235
EXT,X,0,-0.587463,-0.038147,-1.190186,25.321177
EXT,X,0,-0.587463,-0.053406,-1.121521,25.338823
EXT,X,0,-0.587463,-0.091553,-1.144409,25.344706
EXT,X,0,-0.587463,-0.083923,-1.213074,25.347647
EXT,X,0,-0.587463,-0.083923,-1.197815,25.353529
EXT,X,0,-0.587463,-0.045776,-1.190186,25.350588
EXT,X,0,-0.587463,-0.061035,-1.197815,25.324118
EXT,X,0,-0.587463,-0.099182,-1.152039,25.327059
EXT,X,0,-0.587463,-0.12207,-1.228333,25.335882
EXT,X,0,-0.587463,-0.068665,-1.235962,25.347647
EXT,X,0,-0.587463,-0.083923,-1.197815,25.341764
EXT,X,0,-0.587463,-0.076294,-1.13678,25.315294
EXT,X,0,-0.587463,-0.061035,-1.243591,25.315294
EXT,X,0,-0.587463,-0.045776,-1.190186,25.332941
EXT,X,0,-0.587463,-0.099182,-1.159668,25.332941
EXT,X,0,-0.587463,-0.1297,-1.266479,25.341764
EXT,X,0,-0.587463,-0.12207,-1.197815,25.33
EXT,X,0,-0.587463,-0.1297,-1.190186,25.318235
EXT,X,0,-0.587463,-0.030518,-1.220703,25.338823
EXT,X,0,-0.587463,-0.12207,-1.25885,25.368235
EXT,X,0,-0.587463,-0.1297,-1.235962,25.341764
EXT,X,0,-0.587463,-0.167847,-1.167297,25.306471
EXT,X,0,-0.587463,-0.114441,-1.251221,25.321177
EXT,X,0,-0.587463,-0.068665,-1.220703,25.350588
EXT,X,0,-0.587463,-0.144958,-1.152039,25.347647
EXT,X,0,-0.595093,-0.1297,-1.228333,25.359411
EXT,X,0,-0.595093,-0.099182,-1.182556,25.368235
EXT,X,0,-0.595093,-0.053406,-1.213074,25.35647
EXT,X,0,-0.595093,-0.091553,-1.220703,25.344706
EXT,X,0,-0.595093,-0.1297,-1.190186,25.365294
EXT,X,0,-0.595093,-0.045776,-1.144409,25.350588
EXT,X,0,-0.595093,-0.038147,-1.106262,25.324118
EXT,X,0,-0.595093,-0.068665,-1.243591,25.35647
EXT,X,0,-0.595093,-0.099182,-1.197815,25.362352
EXT,X,0,-0.595093,-0.061035,-1.205444,25.353529
EXT,X,0,-0.595093,-0.091553,-1.205444,25.353529
EXT,X,0,-0.595093,-0.12207,-1.228333,25.362352
EXT,X,0,-0.595093,-0.137329,-1.174927,25.324118
EXT,X,0,-0.595093,-0.083923,-1.13678,25.335882
EXT,X,0,-0.595093,-0.144958,-1.205444,25.359411
EXT,X,0,-0.595093,-0.106812,-1.13678,25.324118
EXT,X,0,-0.595093,-0.099182,-1.213074,25.33
EXT,X,0,-0.595093,-0.076294,-1.113892,25.297647
EXT,X,0,-0.595093,-0.038147,-1.213074,25.315294
EXT,X,0,-0.595093,0.022888,-1.182556,25.324118
EXT,X,0,-0.595093,-0.045776,-1.274109,25.306471
EXT,X,0,-0.595093,-0.091553,-1.25885,25.368235
EXT,X,0,-0.595093,-0.061035,-1.174927,25.332941
EXT,X,0,-0.595093,-0.106812,-1.281738,25.33
EXT,X,0,-0.595093,-0.053406,-1.144409,25.33
EXT,X,0,-0.595093,-0.083923,-1.182556,25.327059
EXT,X,0,-0.595093,-0.061035,-1.205444,25.338823
EXT,X,0,-0.595093,-0.106812,-1.205444,25.332941
EXT,X,0,-0.595093,-0.076294,-1.190186,25.350588
EXT,X,0,-0.602722,-0.045776,-1.213074,25.335882
EXT,X,0,-0.602722,-0.083923,-1.167297,25.350588
EXT,X,0,-0.602722,-0.1297,-1.213074,25.33
EXT,X,0,-0.602722,-0.061035,-1.113892,25.368235
EXT,X,0,-0.602722,-0.091553,-1.190186,25.344706
EXT,X,0,-0.602722,-0.12207,-1.167297,25.371176
EXT,X,0,-0.602722,-0.114441,-1.205444,25.338823
EXT,X,0,-0.602722,-0.114441,-1.167297,25.368235
EXT,X,0,-0.602722,-0.076294,-1.205444,25.347647
EXT,X,0,-0.602722,-0.106812,-1.213074,25.341764
EXT,X,0,-0.602722,-0.083923,-1.235962,25.335882
EXT,X,0,-0.602722,-0.083923,-1.167297,25.321177
EXT,X,0,-0.602722,-0.053406,-1.144409,25.332941
EXT,X,0,-0.602722,-0.114441,-1.190186,25.327059
EXT,X,0,-0.602722,-0.1297,-1.251221,25.318235
EXT,X,0,-0.602722,-0.053406,-1.190186,25.359411
EXT,X,0,-0.602722,-0.114441,-1.174927,25.332941
EXT,X,0,-0.602722,-0.091553,-1.197815,25.344706
EXT,X,0,-0.610352,-0.099182,-1.121521,25.353529
EXT,X,0,-0.610352,-0.099182,-1.182556,25.344706
EXT,X,0,-0.610352,-0.068665,-1.266479,25.338823
EXT,X,0.1,-0.434875,-0.091553,-1.174927,25.374117
EXT,X,0.1,-0.434875,-0.114441,-1.213074,25.362352
EXT,X,0.1,-0.434875,-0.053406,-1.228333,25.388824
EXT,X,0.1,-0.434875,-0.083923,-1.106262,25.397648
EXT,X,0.1,-0.434875,-0.061035,-1.13678,25.371176
EXT,X,0.1,-0.434875,-0.106812,-1.174927,25.385881
EXT,X,0.1,-0.434875,-0.099182,-1.205444,25.385881
EXT,X,0.1,-0.434875,-0.007629,-1.213074,25.400589
