X0 b'E33: x = -0.542335, y = 0.766569, z = -0.871454, temp = 26.459412\r\n'
X0 b'E33: x = -0.549812, y = 0.677856, z = -0.927174, temp = 26.459412\r\n'
X0 b'E33: x = -0.549584, y = 0.691527, z = -0.934001, temp = 26.465294\r\n'
X0 b'E33: x = -0.563615, y = 0.671148, z = -0.934358, temp = 26.471176\r\n'
X0 b'E33: x = -0.528149, y = 0.698250, z = -1.009418, temp = 26.427059\r\n'
X0 b'E33: x = -0.549688, y = 0.677868, z = -0.940962, temp = 26.444706\r\n'
X0 b'E33: x = -0.535724, y = 0.657296, z = -0.989066, temp = 26.462353\r\n'
X0 b'E33: x = -0.570566, y = 0.691673, z = -0.899915, temp = 26.444706\r\n'
X0 b'E33: x = -0.577499, y = 0.678080, z = -0.913899, temp = 26.474117\r\n'
X0 b'E33: x = -0.549482, y = 0.684713, z = -0.954717, temp = 26.441765\r\n'
X0 b'E33: x = -0.500707, y = 0.718474, z = -0.967438, temp = 26.462353\r\n'
X0 b'E33: x = -0.528641, y = 0.718673, z = -0.926587, temp = 26.441765\r\n'
X0 b'E33: x = -0.487215, y = 0.704679, z = -0.953460, temp = 26.438824\r\n'
X0 b'E33: x = -0.611335, y = 0.678437, z = -0.983483, temp = 26.453529\r\n'
X0 b'E33: x = -0.542800, y = 0.657337, z = -0.968512, temp = 26.453529\r\n'
X0 b'E33: x = -0.577439, y = 0.657614, z = -0.948471, temp = 26.424118\r\n'
X0 b'E33: x = -0.528562, y = 0.684561, z = -0.981909, temp = 26.456470\r\n'
X0 b'E33: x = -0.522330, y = 0.691260, z = -0.899016, temp = 26.465294\r\n'
X0 b'E33: x = -0.563511, y = 0.684807, z = -0.927397, temp = 26.444706\r\n'
X0 b'E33: x = -0.618079, y = 0.705807, z = -0.962795, temp = 26.477058\r\n'
X0 b'E33: x = -0.516187, y = 0.629709, z = -0.899190, temp = 26.459412\r\n'
X0 b'E33: x = -0.540916, y = 0.746239, z = -1.057699, temp = 26.453529\r\n'
X0 b'E33: x = -0.632378, y = 0.678577, z = -0.942503, temp = 26.459412\r\n'
X0 b'E33: x = -0.535101, y = 0.698303, z = -1.002652, temp = 26.432941\r\n'
X0 b'E33: x = -0.563059, y = 0.671204, z = -0.996406, temp = 26.441765\r\n'
X0 b'E33: x = -0.522520, y = 0.650296, z = -0.933689, temp = 26.462353\r\n'
X0 b'E33: x = -0.590763, y = 0.705546, z = -0.934704, temp = 26.462353\r\n'
X0 b'E33: x = -0.576962, y = 0.691782, z = -0.955197, temp = 26.480000\r\n'
X0 b'E33: x = -0.563119, y = 0.691670, z = -0.961834, temp = 26.453529\r\n'
X0 b'E33: x = -0.556123, y = 0.705269, z = -0.954744, temp = 26.456470\r\n'
X0 b'E33: x = -0.541532, y = 0.766649, z = -0.961079, temp = 26.456470\r\n'
X0 b'E33: x = -0.536651, y = 0.657203, z = -0.885653, temp = 26.450588\r\n'
X0 b'E33: x = -0.590477, y = 0.678278, z = -1.003781, temp = 26.456470\r\n'
