m1,m2,m3
-529.487183,5.128205,-80.769234
-526.923096,-5.128205,-82.051285
-519.230774,7.692308,-82.051285
-526.923096,-7.692308,-83.333336
-521.794861,-2.564103,-89.743591
-515.384644,1.282051,-83.333336
-521.794861,-6.410256,-74.358978
-523.076965,-7.692308,-79.487183
-523.076965,6.410256,-80.769234
-528.205139,3.846154,-83.333336
-525.641052,-1.282051,-82.051285
-526.923096,1.282051,-83.333336
-521.794861,5.128205,-67.948723
-521.794861,1.282051,-92.307693
-534.615417,3.846154,-93.589745
-521.794861,1.282051,-82.051285
-523.076965,-6.410256,-80.769234
-529.487183,-10.256411,-92.307693
-521.794861,0.0,-74.358978
-532.05127,6.410256,-75.641029
-523.076965,0.0,-80.769234
-524.359009,-3.846154,-71.794876
-532.05127,10.256411,-80.769234
-526.923096,3.846154,-91.025642
-524.359009,-2.564103,-69.230774
-525.641052,0.0,-91.025642
-532.05127,-5.128205,-87.179489
-519.230774,2.564103,-74.358978
-530.769226,6.410256,-84.615387
-523.076965,6.410256,-92.307693
-517.94873,-6.410256,-84.615387
-521.794861,3.846154,-78.205132
-529.487183,5.128205,-91.025642
-517.94873,7.692308,-78.205132
-516.666687,10.256411,-69.230774
-533.333374,5.128205,-84.615387
-517.94873,-2.564103,-82.051285
-523.076965,-3.846154,-73.076927
-523.076965,-2.564103,-71.794876
-523.076965,2.564103,-89.743591
-521.794861,-1.282051,-82.051285
-517.94873,-1.282051,-82.051285
-523.076965,6.410256,-83.333336
-521.794861,-8.97436,-80.769234
-526.923096,6.410256,-74.358978
-526.923096,7.692308,-79.487183
-537.179504,3.846154,-88.46154
-523.076965,-2.564103,-79.487183
-523.076965,6.410256,-66.666672
-533.333374,5.128205,-92.307693
-528.205139,5.128205,-87.179489
-528.205139,7.692308,-80.769234
-526.923096,7.692308,-80.769234
-532.05127,6.410256,-87.179489
-533.333374,2.564103,-78.205132
-533.333374,2.564103,-85.897438
-526.923096,6.410256,-73.076927
-525.641052,2.564103,-82.051285
-521.794861,7.692308,-80.769234
-525.641052,8.97436,-67.948723
-533.333374,3.846154,-88.46154
-519.230774,6.410256,-84.615387
-529.487183,1.282051,-78.205132
-525.641052,-3.846154,-79.487183
-520.512817,5.128205,-78.205132
-526.923096,-2.564103,-82.051285
-528.205139,-5.128205,-84.615387
-523.076965,7.692308,-82.051285
-529.487183,2.564103,-73.076927
-532.05127,0.0,-82.051285
-532.05127,6.410256,-93.589745
-530.769226,1.282051,-76.92308
-530.769226,-7.692308,-84.615387
-526.923096,-8.97436,-88.46154
-525.641052,6.410256,-83.333336
-524.359009,3.846154,-79.487183
-524.359009,-2.564103,-91.025642
-521.794861,6.410256,-80.769234
-532.05127,7.692308,-80.769234
-523.076965,-8.97436,-82.051285
-530.769226,0.0,-89.743591
-521.794861,-7.692308,-82.051285
-521.794861,3.846154,-75.641029
-528.205139,1.282051,-79.487183
-526.923096,1.282051,-91.025642
-524.359009,-6.410256,-85.897438
-521.794861,0.0,-78.205132
-534.615417,3.846154,-88.46154
-528.205139,8.97436,-75.641029
-520.512817,7.692308,-79.487183
-528.205139,7.692308,-82.051285
-520.512817,2.564103,-80.769234
-524.359009,-8.97436,-78.205132
-526.923096,-3.846154,-89.743591
-519.230774,2.564103,-67.948723
-528.205139,-3.846154,-92.307693
-525.641052,0.0,-78.205132
-532.05127,0.0,-78.205132
-521.794861,-7.692308,-89.743591
-523.076965,2.564103,-85.897438
-530.769226,-1.282051,-78.205132
-529.487183,-1.282051,-85.897438
-519.230774,5.128205,-71.794876
-521.794861,0.0,-73.076927
-525.641052,-6.410256,-91.025642
-521.794861,6.410256,-73.076927
-530.769226,6.410256,-74.358978
-530.769226,2.564103,-88.46154
-524.359009,7.692308,-93.589745
-519.230774,8.97436,-79.487183
-526.923096,-6.410256,-79.487183
-528.205139,2.564103,-82.051285
-524.359009,-1.282051,-82.051285
-520.512817,6.410256,-74.358978
-529.487183,-7.692308,-84.615387
-525.641052,-5.128205,-84.615387
-523.076965,-6.410256,-78.205132
-525.641052,7.692308,-83.333336
-520.512817,7.692308,-80.769234
-526.923096,7.692308,-82.051285
-532.05127,-3.846154,-82.051285
-521.794861,10.256411,-74.358978
-532.05127,0.0,-82.051285
-532.05127,3.846154,-82.051285
-528.205139,1.282051,-83.333336
-528.205139,-1.282051,-83.333336
-526.923096,0.0,-76.92308
-529.487183,6.410256,-75.641029
-526.923096,-2.564103,-83.333336
-517.94873,-3.846154,-78.205132
-532.05127,-3.846154,-79.487183
-521.794861,7.692308,-84.615387
-526.923096,1.282051,-70.512825
-526.923096,6.410256,-84.615387
-532.05127,5.128205,-85.897438
-525.641052,-3.846154,-85.897438
-532.05127,3.846154,-82.051285
-530.769226,1.282051,-83.333336
-521.794861,3.846154,-76.92308
-528.205139,8.97436,-82.051285
-529.487183,-2.564103,-83.333336
-534.615417,1.282051,-71.794876
-529.487183,0.0,-79.487183
-524.359009,-2.564103,-84.615387
-516.666687,-5.128205,-82.051285
-516.666687,-8.97436,-69.230774
-533.333374,6.410256,-84.615387
-525.641052,3.846154,-74.358978
-529.487183,3.846154,-82.051285
-519.230774,0.0,-79.487183
-528.205139,5.128205,-76.92308
-523.076965,-6.410256,-73.076927
-528.205139,7.692308,-78.205132
-529.487183,7.692308,-79.487183
-524.359009,8.97436,-85.897438
-526.923096,3.846154,-84.615387
-523.076965,6.410256,-83.333336
-532.05127,5.128205,-83.333336
-521.794861,-1.282051,-74.358978
-523.076965,-1.282051,-78.205132
-528.205139,3.846154,-85.897438
-526.923096,-6.410256,-78.205132
-529.487183,-1.282051,-83.333336
-524.359009,3.846154,-84.615387
-529.487183,8.97436,-80.769234
-534.615417,3.846154,-83.333336
-526.923096,6.410256,-82.051285
