mx,my,mz
-125.641029,-766.666687,-185.897446
-126.92308,-775.641052,-193.589752
-138.461548,-770.512817,-191.02565
-121.794876,-773.076965,-193.589752
-124.358978,-766.666687,-193.589752
-121.794876,-773.076965,-193.589752
-132.051285,-765.384644,-193.589752
-124.358978,-767.94873,-191.02565
-133.333344,-757.692322,-202.564102
-124.358978,-769.230774,-183.333344
-138.461548,-774.359009,-193.589752
-123.076927,-761.538513,-187.179489
-129.487183,-780.769287,-194.871796
-123.076927,-766.666687,-187.179489
-132.051285,-774.359009,-197.435898
-126.92308,-761.538513,-189.743591
-137.179489,-774.359009,-188.461548
-119.230774,-770.512817,-194.871796
-134.615387,-775.641052,-187.179489
-132.051285,-766.666687,-193.589752
-117.948723,-762.820557,-188.461548
-135.897446,-775.641052,-197.435898
-124.358978,-767.94873,-185.897446
-128.205139,-771.794922,-192.307693
-125.641029,-773.076965,-189.743591
-133.333344,-771.794922,-185.897446
-125.641029,-760.256409,-198.717957
-138.461548,-771.794922,-187.179489
-117.948723,-771.794922,-200.0
-134.615387,-770.512817,-188.461548
-123.076927,-773.076965,-198.717957
-130.769241,-771.794922,-182.051285
-123.076927,-775.641052,-185.897446
-133.333344,-765.384644,-184.615387
-117.948723,-766.666687,-192.307693
-132.051285,-773.076965,-184.615387
-129.487183,-766.666687,-189.743591
-133.333344,-769.230774,-191.02565
-128.205139,-775.641052,-191.02565
-135.897446,-761.538513,-192.307693
-128.205139,-771.794922,-188.461548
-134.615387,-770.512817,-197.435898
-129.487183,-771.794922,-191.02565
-120.512825,-769.230774,-194.871796
-123.076927,-762.820557,-187.179489
-134.615387,-774.359009,-198.717957
-123.076927,-765.384644,-183.333344
-120.512825,-778.205139,-193.589752
-120.512825,-773.076965,-192.307693
-133.333344,-775.641052,-185.897446
-125.641029,-769.230774,-198.717957
-124.358978,-773.076965,-192.307693
-123.076927,-774.359009,-193.589752
-132.051285,-770.512817,-185.897446
-124.358978,-770.512817,-200.0
-132.051285,-773.076965,-188.461548
-115.384621,-780.769287,-193.589752
-135.897446,-765.384644,-188.461548
-123.076927,-767.94873,-207.692322
-137.179489,-769.230774,-184.615387
-126.92308,-774.359009,-193.589752
-126.92308,-771.794922,-192.307693
-119.230774,-780.769287,-193.589752
-137.179489,-765.384644,-189.743591
-128.205139,-769.230774,-179.487183
-129.487183,-773.076965,-201.282059
-120.512825,-767.94873,-188.461548
-130.769241,-773.076965,-192.307693
-128.205139,-765.384644,-188.461548
-130.769241,-779.487183,-193.589752
-123.076927,-771.794922,-192.307693
-128.205139,-775.641052,-196.153854
-112.820518,-767.94873,-191.02565
-130.769241,-764.1026,-188.461548
-128.205139,-773.076965,-196.153854
-117.948723,-770.512817,-192.307693
-123.076927,-774.359009,-196.153854
-132.051285,-769.230774,-180.769241
-130.769241,-770.512817,-200.0
-124.358978,-769.230774,-191.02565
-126.92308,-770.512817,-196.153854
-125.641029,-769.230774,-191.02565
-137.179489,-769.230774,-193.589752
-124.358978,-769.230774,-183.333344
-129.487183,-767.94873,-194.871796
-116.666672,-764.1026,-192.307693
-133.333344,-773.076965,-191.02565
-125.641029,-773.076965,-201.282059
-133.333344,-767.94873,-192.307693
-121.794876,-771.794922,-198.717957
-123.076927,-767.94873,-189.743591
-129.487183,-779.487183,-200.0
-132.051285,-767.94873,-192.307693
-115.384621,-771.794922,-192.307693
-137.179489,-764.1026,-191.02565
-135.897446,-769.230774,-194.871796
-125.641029,-771.794922,-191.02565
-117.948723,-770.512817,-187.179489
-130.769241,-767.94873,-200.0
-138.461548,-769.230774,-194.871796
-126.92308,-767.94873,-198.717957
-119.230774,-769.230774,-189.743591
-129.487183,-771.794922,-196.153854
-126.92308,-767.94873,-188.461548
-128.205139,-775.641052,-194.871796
-121.794876,-764.1026,-188.461548
-135.897446,-773.076965,-192.307693
-129.487183,-767.94873,-197.435898
-135.897446,-771.794922,-193.589752
-115.384621,-762.820557,-192.307693
-134.615387,-773.076965,-192.307693
-128.205139,-773.076965,-189.743591
-134.615387,-770.512817,-187.179489
-126.92308,-773.076965,-198.717957
-124.358978,-771.794922,-192.307693
-133.333344,-775.641052,-198.717957
-134.615387,-774.359009,-192.307693
-133.333344,-771.794922,-196.153854
-130.769241,-767.94873,-197.435898
-134.615387,-774.359009,-197.435898
-130.769241,-774.359009,-200.0
-129.487183,-773.076965,-189.743591
-124.358978,-767.94873,-203.846161
-132.051285,-770.512817,-188.461548
-133.333344,-783.333374,-193.589752
-130.769241,-766.666687,-187.179489
-125.641029,-773.076965,-197.435898
-137.179489,-767.94873,-191.02565
-134.615387,-774.359009,-192.307693
-126.92308,-773.076965,-197.435898
-117.948723,-774.359009,-189.743591
-134.615387,-762.820557,-194.871796
-130.769241,-775.641052,-191.02565
-123.076927,-770.512817,-198.717957
-133.333344,-770.512817,-191.02565
-123.076927,-767.94873,-202.564102
-126.92308,-774.359009,-196.153854
-116.666672,-769.230774,-192.307693
-130.769241,-775.641052,-189.743591
-123.076927,-769.230774,-203.846161
-133.333344,-779.487183,-192.307693
-128.205139,-778.205139,-194.871796
-135.897446,-769.230774,-189.743591
-117.948723,-771.794922,-197.435898
-125.641029,-764.1026,-192.307693
-123.076927,-775.641052,-187.179489
-135.897446,-769.230774,-191.02565
-119.230774,-775.641052,-193.589752
-133.333344,-771.794922,-206.410263
-126.92308,-774.359009,-185.897446
-132.051285,-776.923096,-200.0
-126.92308,-771.794922,-187.179489
-124.358978,-773.076965,-191.02565
-121.794876,-769.230774,-191.02565
-129.487183,-773.076965,-194.871796
-125.641029,-773.076965,-192.307693
-143.589752,-769.230774,-194.871796
-119.230774,-773.076965,-193.589752
-120.512825,-775.641052,-189.743591
-128.205139,-766.666687,-194.871796
-133.333344,-769.230774,-191.02565
-125.641029,-771.794922,-196.153854
-128.205139,-769.230774,-184.615387
-129.487183,-773.076965,-193.589752
-133.333344,-771.794922,-189.743591
-123.076927,-774.359009,-201.282059
-134.615387,-766.666687,-200.0
-125.641029,-775.641052,-193.589752
-133.333344,-776.923096,-192.307693
-123.076927,-771.794922,-200.0
-130.769241,-773.076965,-193.589752
-123.076927,-770.512817,-192.307693
-124.358978,-776.923096,-191.02565
-116.666672,-775.641052,-183.333344
-134.615387,-776.923096,-191.02565
-126.92308,-757.692322,-193.589752
-130.769241,-771.794922,-194.871796
-125.641029,-769.230774,-187.179489
-141.02565,-775.641052,-194.871796
-124.358978,-770.512817,-193.589752
-133.333344,-773.076965,-193.589752
-129.487183,-770.512817,-192.307693
-134.615387,-771.794922,-192.307693
-119.230774,-764.1026,-189.743591
-133.333344,-771.794922,-191.02565
-117.948723,-774.359009,-188.461548
-132.051285,-771.794922,-188.461548
-126.92308,-766.666687,-193.589752
-135.897446,-775.641052,-187.179489
-121.794876,-773.076965,-198.717957
-125.641029,-769.230774,-191.02565
-126.92308,-757.692322,-193.589752
-134.615387,-776.923096,-191.02565
-123.076927,-775.641052,-193.589752
-124.358978,-769.230774,-192.307693
-125.641029,-774.359009,-196.153854
-132.051285,-771.794922,-193.589752
-123.076927,-776.923096,-189.743591
-124.358978,-778.205139,-192.307693
-132.051285,-770.512817,-189.743591
-137.179489,-776.923096,-197.435898
-125.641029,-776.923096,-193.589752
-123.076927,-767.94873,-192.307693
-138.461548,-773.076965,-193.589752
-137.179489,-778.205139,-189.743591
-125.641029,-773.076965,-188.461548
-123.076927,-774.359009,-189.743591
-134.615387,-774.359009,-189.743591
-129.487183,-774.359009,-193.589752
-129.487183,-776.923096,-194.871796
-117.948723,-767.94873,-189.743591
-141.02565,-774.359009,-194.871796
-133.333344,-776.923096,-188.461548
-133.333344,-773.076965,-194.871796
-129.487183,-771.794922,-189.743591
-134.615387,-770.512817,-194.871796
-124.358978,-779.487183,-188.461548
-132.051285,-776.923096,-191.02565
-120.512825,-766.666687,-191.02565
-133.333344,-775.641052,-192.307693
-123.076927,-776.923096,-194.871796
-128.205139,-771.794922,-188.461548
-119.230774,-771.794922,-189.743591
-133.333344,-775.641052,-191.02565
-123.076927,-771.794922,-189.743591
-141.02565,-774.359009,-194.871796
-123.076927,-767.94873,-196.153854
-134.615387,-775.641052,-191.02565
-124.358978,-770.512817,-196.153854
-139.743591,-774.359009,-191.02565
-120.512825,-770.512817,-188.461548
-133.333344,-769.230774,-200.0
-128.205139,-774.359009,-189.743591
-132.051285,-770.512817,-200.0
-121.794876,-773.076965,-194.871796
-134.615387,-770.512817,-194.871796
-115.384621,-770.512817,-189.743591
-134.615387,-767.94873,-192.307693
-120.512825,-773.076965,-191.02565
-132.051285,-775.641052,-191.02565
-126.92308,-775.641052,-188.461548
-135.897446,-765.384644,-189.743591
-117.948723,-767.94873,-191.02565
-130.769241,-766.666687,-202.564102
-126.92308,-771.794922,-193.589752
-135.897446,-769.230774,-191.02565
-124.358978,-770.512817,-197.435898
-129.487183,-774.359009,-189.743591
-123.076927,-770.512817,-191.02565
-135.897446,-778.205139,-194.871796
-114.10257,-770.512817,-196.153854
-128.205139,-776.923096,-188.461548
-120.512825,-769.230774,-192.307693
-130.769241,-773.076965,-194.871796
-120.512825,-766.666687,-191.02565
-135.897446,-779.487183,-192.307693
-121.794876,-775.641052,-194.871796
-129.487183,-773.076965,-194.871796
-125.641029,-773.076965,-192.307693
-128.205139,-774.359009,-193.589752
-125.641029,-769.230774,-189.743591
-135.897446,-773.076965,-193.589752
-123.076927,-767.94873,-198.717957
-130.769241,-778.205139,-189.743591
-123.076927,-767.94873,-193.589752
-133.333344,-776.923096,-187.179489
-114.10257,-771.794922,-193.589752
-125.641029,-770.512817,-197.435898
-120.512825,-769.230774,-193.589752
-134.615387,-766.666687,-191.02565
-121.794876,-774.359009,-194.871796
-129.487183,-770.512817,-191.02565
-124.358978,-767.94873,-194.871796
-128.205139,-774.359009,-194.871796
-130.769241,-769.230774,-200.0
