mx,my,mz
-101.282051,-728.205139,-225.641037
-112.820518,-729.487183,-212.820526
-105.128212,-737.179504,-220.512833
-105.128212,-728.205139,-214.10257
-96.153847,-729.487183,-225.641037
-111.538467,-729.487183,-214.10257
-111.538467,-733.333374,-229.487183
-114.10257,-725.641052,-214.10257
-107.692314,-742.307739,-217.94873
-103.846161,-721.794922,-216.666672
-107.692314,-733.333374,-223.076935
-103.846161,-719.230774,-215.384628
-98.717949,-730.769226,-215.384628
-101.282051,-717.94873,-215.384628
-110.256416,-733.333374,-219.230774
-105.128212,-725.641052,-223.076935
-106.410263,-726.923096,-212.820526
-103.846161,-729.487183,-223.076935
-105.128212,-734.615417,-219.230774
-103.846161,-735.897461,-229.487183
-108.974365,-729.487183,-216.666672
-102.564102,-728.205139,-232.051285
-106.410263,-728.205139,-219.230774
-100.0,-728.205139,-224.358978
-106.410263,-725.641052,-214.10257
-103.846161,-737.179504,-228.205139
-110.256416,-726.923096,-217.94873
-101.282051,-733.333374,-229.487183
-106.410263,-725.641052,-216.666672
-100.0,-730.769226,-219.230774
-102.564102,-725.641052,-211.538467
-108.974365,-729.487183,-221.794876
-103.846161,-724.359009,-225.641037
-103.846161,-737.179504,-219.230774
-101.282051,-724.359009,-226.92308
-112.820518,-728.205139,-211.538467
-108.974365,-728.205139,-223.076935
-108.974365,-728.205139,-211.538467
-103.846161,-724.359009,-226.92308
-114.10257,-728.205139,-203.846161
-102.564102,-732.051331,-225.641037
-111.538467,-728.205139,-207.692322
-101.282051,-729.487183,-225.641037
-112.820518,-716.666687,-212.820526
-107.692314,-732.051331,-230.769241
-112.820518,-726.923096,-211.538467
-100.0,-739.743591,-225.641037
-102.564102,-728.205139,-220.512833
-111.538467,-735.897461,-214.10257
-103.846161,-724.359009,-212.820526
-103.846161,-733.333374,-220.512833
-101.282051,-728.205139,-219.230774
-111.538467,-733.333374,-217.94873
-103.846161,-726.923096,-220.512833
-107.692314,-739.743591,-221.794876
-107.692314,-726.923096,-223.076935
-111.538467,-732.051331,-220.512833
