x,y,z
385.897461,255.12822,414.10257
164.10257,47.435898,570.512817
-156.410263,583.333374,667.94873
-7.692308,275.641022,638.461548
170.512833,57.69231,711.538513
-230.769241,500.000031,698.717957
56.410259,239.743591,561.538452
489.743591,-375.641052,352.564117
112.820518,1074.359009,716.666687
132.051285,923.076965,900.0
191.02565,280.769226,665.384644
266.666687,465.384644,644.871826
146.153854,-47.435898,621.794922
200.0,696.15387,633.333374
161.538467,1483.333374,193.589752
400.0,-734.615417,-223.076935
507.692322,174.358978,-92.307693
-776.923096,914.1026,-119.230774
-1147.435913,875.641052,-39.743591
421.794891,-11.538462,188.461548
593.589783,162.820511,35.897438
180.769241,1010.25647,284.615387
43.589745,1128.2052,347.435913
8.97436,497.435913,128.205139
192.307693,-114.10257,94.871796
-1188.461548,506.410278,-193.589752
