theta,phi,temp
0.0,0.0,38.875
1.275687,2.356194,38.875
1.275687,2.356194,38.875
1.275687,2.356194,38.875
0.0,0.0,38.875
0.0,0.0,38.90625
1.275687,2.356194,38.875
1.275687,2.356194,38.875
0.0,0.0,38.90625
1.162912,1.570909,38.875
1.268726,0.762009,38.90625
1.006796,2.371021,38.90625
1.275687,2.356194,38.90625
0.0,0.0,38.90625
1.275687,2.356194,38.90625
0.0,0.0,38.875
1.268726,0.762009,38.90625
1.275687,2.356194,38.875
1.239548,2.214298,38.875
1.183551,1.892547,38.90625
0.0,0.0,38.90625
1.275687,2.356194,38.90625
1.243647,2.48055,38.90625
1.268726,0.762009,38.875
1.268726,0.762009,38.90625
0.0,0.0,38.90625
1.234278,2.191046,38.90625
1.275687,2.356194,38.90625
1.231042,2.176341,38.90625
1.275687,2.356194,38.90625
1.165034,-0.000253,38.90625
1.275687,2.356194,38.90625
1.275687,5.497787,38.90625
1.193501,1.243066,38.90625
1.275687,2.356194,38.90625
1.275687,2.356194,38.90625
0.0,0.0,38.875
1.268726,0.762009,38.90625
1.268726,0.762009,38.90625
1.275687,2.356194,38.90625
1.239548,2.214298,38.90625
1.275687,2.356194,38.90625
0.0,0.0,38.90625
1.275687,2.356194,38.90625
1.268726,0.762009,38.90625
1.268726,0.762009,38.90625
1.233452,2.356194,38.90625
1.268726,0.762009,38.90625
0.0,0.0,38.90625
0.0,0.0,38.90625
0.0,0.0,38.90625
1.268726,0.762009,38.9375
0.0,0.0,38.90625
0.0,0.0,38.90625
1.203711,2.034444,38.90625
8.4e-05,0.004901,38.90625
1.275687,5.497787,38.9375
1.275687,2.356194,38.90625
1.268726,0.762009,38.90625
1.275687,5.497787,38.90625
0.0,0.0,38.9375
0.0,0.0,38.9375
1.275687,2.356194,38.90625
1.275687,2.356194,38.90625
0.0,0.0,38.9375
0.0,0.0,38.90625
1.275687,2.356194,38.9375
1.268726,0.762009,38.90625
1.268726,0.762009,38.9375
0.0,0.0,38.90625
0.0,0.0,38.90625
0.0,0.0,38.90625
0.0,0.0,38.9375
0.0,0.0,38.90625
1.175666,1.815775,38.9375
0.0,0.0,38.9375
1.275687,2.356194,38.9375
1.275687,3.926991,38.9375
1.275687,2.356194,38.9375
1.268726,0.762009,38.9375
0.0,0.0,38.9375
0.0,0.0,38.9375
1.194486,1.975688,38.9375
1.000141,1.800496,38.9375
1.268726,0.762009,38.9375
1.268726,0.762009,38.9375
1.275687,2.356194,38.9375
0.0,0.0,38.9375
1.239548,2.214298,38.9375
1.275687,2.356194,38.9375
0.0,0.0,38.9375
1.268726,0.762009,38.96875
0.0,0.0,38.9375
0.0,0.0,38.9375
0.0,0.0,38.9375
1.268726,0.762009,38.9375
1.275687,2.356194,38.9375
1.275687,2.356194,38.9375
1.194486,1.975688,38.9375
1.275687,5.497787,38.9375
1.268726,0.762009,38.9375
1.275687,2.356194,38.9375
1.268726,0.762009,38.96875
1.275687,2.356194,38.9375
1.275687,2.356194,38.9375
0.0,0.0,38.9375
1.275687,5.497787,38.96875
1.275687,2.356194,38.9375
1.249594,2.256526,38.9375
0.0,0.0,38.9375
0.0,0.0,38.9375
1.275687,2.356194,38.9375
1.275687,2.356194,38.9375
1.268726,0.762009,38.96875
1.275687,2.356194,38.96875
1.165034,-0.000253,38.9375
0.824454,0.762009,38.9375
1.275687,2.356194,38.9375
1.275687,2.356194,38.9375
0.0,0.0,38.96875
1.268726,0.762009,38.96875
1.275687,5.497787,38.9375
0.0,0.0,38.96875
1.275687,3.926991,38.96875
1.268726,0.762009,38.96875
1.275687,2.356194,38.9375
1.268726,0.762009,38.96875
1.268726,0.762009,38.9375
1.275687,2.356194,38.9375
8.4e-05,0.004901,38.96875
1.268726,0.762009,38.96875
1.275687,2.356194,38.96875
1.268726,0.762009,38.96875
1.275687,5.497787,38.9375
0.0,0.0,38.9375
1.239548,2.214298,38.96875
1.275687,2.356194,38.96875
1.275687,2.356194,38.96875
1.183551,1.892547,38.96875
1.203711,2.034444,38.9375
1.268726,0.762009,38.9375
1.268726,0.762009,38.96875
1.255295,2.279423,38.9375
1.268726,0.762009,38.96875
